# #q, USAXS_int, USAXS_sub
8.918184920732669043e-05,2.726884589726484620e+01,4.267558826898341096e+00
9.101558923783335299e-05,2.223827343929480804e+01,3.635167468124027579e+00
9.288703427815276519e-05,1.710426331800501032e+01,2.989772999862330138e+00
9.479695961144447023e-05,1.386946547073869418e+01,2.437024495703424165e+00
9.674615646209181613e-05,1.113972702816623439e+01,1.903107832592246140e+00
9.873543232348114143e-05,9.187550729076438216e+00,1.380308846219984176e+00
1.007656112925226654e-04,7.649043491396894545e+00,8.587878406892910377e-01
1.028375344110486896e-04,6.544973524574257517e+00,5.870028097360187047e-01
1.049520600142322117e-04,5.728602836506166085e+00,4.830937535606532052e-01
1.071100640861686595e-04,5.057946643399722220e+00,4.026318289259505079e-01
1.093124406227699460e-04,4.469061631159268799e+00,3.355603651546488209e-01
1.115601020021202876e-04,4.013505859376093277e+00,2.701932455978455216e-01
1.138539793624461575e-04,3.602275951473909554e+00,2.046204138421918728e-01
1.161950229878596031e-04,3.270762151658952011e+00,1.331074325318550855e-01
1.185842027020314718e-04,2.955784911633912770e+00,6.931349222025007251e-02
1.210225082699603480e-04,2.727438023003270207e+00,7.223356893664112377e-02
1.235109498080027711e-04,2.510146767127681144e+00,6.819636429120912169e-02
1.260505582023330174e-04,2.311200996050046363e+00,5.391232580868443591e-02
1.286423855360090617e-04,2.131095250092847504e+00,3.151415995914064183e-02
1.312875055248180565e-04,1.959659296848854870e+00,8.057977674796434897e-03
1.339870139620845976e-04,1.813858877067872521e+00,-2.983503714309110322e-03
1.367420291726252526e-04,1.679512877714938179e+00,-7.786728871223225212e-03
1.395536924760359552e-04,1.554338415307254806e+00,-8.084473076191089902e-03
1.424231686595067725e-04,1.445872431610482733e+00,-1.261109981665864410e-02
1.453516464603582243e-04,1.347209796216690014e+00,-1.547296556093957776e-02
1.483403390584984603e-04,1.255582016879090101e+00,-1.727174455075619619e-02
1.513904845790081308e-04,1.163033075047297693e+00,-2.022894244423545373e-02
1.545033466050572447e-04,1.082569311291202041e+00,-2.312974261051059521e-02
1.576802147013699044e-04,1.008057354719029020e+00,-2.461386589052638740e-02
1.609224049484525121e-04,9.371345666845454225e-01,nan
1.642312604878050255e-04,8.805847170212253161e-01,nan
1.676081520783452767e-04,8.262938605867569120e-01,nan
1.710544786642718940e-04,7.737512474477525881e-01,nan
