# #q, WAXS_int
1.466966097004682057e+00,1.024727905273437500e+03
1.468686830640774765e+00,1.039934082031250000e+03
1.470407564276867474e+00,1.045766113281250000e+03
1.472128297912960182e+00,1.053939697265625000e+03
1.473849031549052668e+00,1.055496337890625000e+03
1.475569765185145599e+00,1.058226806640625000e+03
1.477290498821238307e+00,1.056211425781250000e+03
1.479011232457330793e+00,1.056826049804687500e+03
1.480731966093423502e+00,1.065427001953125000e+03
1.482452699729516210e+00,1.065918090820312500e+03
1.484173433365608918e+00,1.069895263671875000e+03
1.485894167001701627e+00,1.076038085937500000e+03
1.487614900637794335e+00,1.078601562500000000e+03
1.489335634273887043e+00,1.077531372070312500e+03
1.491056367909979530e+00,1.077940185546875000e+03
1.492777101546072238e+00,1.078406372070312500e+03
1.494497835182165169e+00,1.076254394531250000e+03
1.496218568818257655e+00,1.078370605468750000e+03
1.497939302454350363e+00,1.085671386718750000e+03
1.499660036090443072e+00,1.086700561523437500e+03
1.501380769726535780e+00,1.085527709960937500e+03
1.503101503362628266e+00,1.089147827148437500e+03
1.504822236998720975e+00,1.091090820312500000e+03
1.506542970634813905e+00,1.093510620117187500e+03
1.508263704270906391e+00,1.094838500976562500e+03
1.509984437906999100e+00,1.099036743164062500e+03
1.511705171543091808e+00,1.095049316406250000e+03
1.513425905179184516e+00,1.091680297851562500e+03
1.515146638815277225e+00,1.097369506835937500e+03
1.516867372451369711e+00,1.102378051757812500e+03
1.518588106087462641e+00,1.100958374023437500e+03
1.520308839723555128e+00,1.100468872070312500e+03
1.522029573359647836e+00,1.103590942382812500e+03
1.523750306995740544e+00,1.106406616210937500e+03
1.525471040631833253e+00,1.106482299804687500e+03
1.527191774267925961e+00,1.108067260742187500e+03
1.528912507904018447e+00,1.109493652343750000e+03
1.530633241540111378e+00,1.109138793945312500e+03
1.532353975176204086e+00,1.108121704101562500e+03
1.534074708812296572e+00,1.110455322265625000e+03
1.535795442448389281e+00,1.110435791015625000e+03
1.537516176084481989e+00,1.114873046875000000e+03
1.539236909720574698e+00,1.113942382812500000e+03
1.540957643356667406e+00,1.115975708007812500e+03
1.542678376992760114e+00,1.115646728515625000e+03
1.544399110628852823e+00,1.118376708984375000e+03
1.546119844264945309e+00,1.129016601562500000e+03
1.547840577901038017e+00,1.121739135742187500e+03
1.549561311537130726e+00,1.121809204101562500e+03
1.551282045173223434e+00,1.121900390625000000e+03
1.553002778809316142e+00,1.124226440429687500e+03
1.554723512445408851e+00,1.126454833984375000e+03
1.556444246081501559e+00,1.131291870117187500e+03
1.558164979717594267e+00,1.126710205078125000e+03
1.559885713353686754e+00,1.128708862304687500e+03
1.561606446989779684e+00,1.128493652343750000e+03
1.563327180625872170e+00,1.132939086914062500e+03
1.565047914261964879e+00,1.133239501953125000e+03
1.566768647898057587e+00,1.132020629882812500e+03
1.568489381534150295e+00,1.136682983398437500e+03
1.570210115170243004e+00,1.132659179687500000e+03
1.571930848806335490e+00,1.136614868164062500e+03
1.573651582442428420e+00,1.138705688476562500e+03
1.575372316078520907e+00,1.141093383789062500e+03
1.577093049714613615e+00,1.141832397460937500e+03
1.578813783350706323e+00,1.143975708007812500e+03
1.580534516986799032e+00,1.147179321289062500e+03
1.582255250622891740e+00,1.145173217773437500e+03
1.583975984258984226e+00,1.147566650390625000e+03
1.585696717895077157e+00,1.145903686523437500e+03
1.587417451531169865e+00,1.144229248046875000e+03
1.589138185167262352e+00,1.145917846679687500e+03
1.590858918803355060e+00,1.149373413085937500e+03
1.592579652439447768e+00,1.151959228515625000e+03
1.594300386075540477e+00,1.149829223632812500e+03
1.596021119711632963e+00,1.147171752929687500e+03
1.597741853347725893e+00,1.152921508789062500e+03
1.599462586983818602e+00,1.154031494140625000e+03
1.601183320619911088e+00,1.153305175781250000e+03
1.602904054256003796e+00,1.156054565429687500e+03
1.604624787892096727e+00,1.159785766601562500e+03
1.606345521528189213e+00,1.157931762695312500e+03
1.608066255164281699e+00,1.160089843750000000e+03
1.609786988800374630e+00,1.159308715820312500e+03
1.611507722436467338e+00,1.156716064453125000e+03
1.613228456072559824e+00,1.157123413085937500e+03
1.614949189708652755e+00,1.162383300781250000e+03
1.616669923344745463e+00,1.163824951171875000e+03
1.618390656980837949e+00,1.166244873046875000e+03
1.620111390616930436e+00,1.164097778320312500e+03
1.621832124253023366e+00,1.163508789062500000e+03
1.623552857889116074e+00,1.166340820312500000e+03
1.625273591525208561e+00,1.168808959960937500e+03
1.626994325161301491e+00,1.166707519531250000e+03
1.628715058797394200e+00,1.164547241210937500e+03
1.630435792433486686e+00,1.167331176757812500e+03
1.632156526069579172e+00,1.170688598632812500e+03
1.633877259705672103e+00,1.171264282226562500e+03
1.635597993341764811e+00,1.173085327148437500e+03
1.637318726977857297e+00,1.173984741210937500e+03
1.639039460613950228e+00,1.176639648437500000e+03
1.640760194250042936e+00,1.178273437500000000e+03
1.642480927886135422e+00,1.177070190429687500e+03
1.644201661522228353e+00,1.173820190429687500e+03
1.645922395158320839e+00,1.174071044921875000e+03
1.647643128794413547e+00,1.180271606445312500e+03
1.649363862430506478e+00,1.180153076171875000e+03
1.651084596066598964e+00,1.179719116210937500e+03
1.652805329702691672e+00,1.177963989257812500e+03
1.654526063338784159e+00,1.177472656250000000e+03
1.656246796974877089e+00,1.175652954101562500e+03
1.657967530610969575e+00,1.178305786132812500e+03
1.659688264247062284e+00,1.180489990234375000e+03
1.661408997883155214e+00,1.183264892578125000e+03
1.663129731519247700e+00,1.182482055664062500e+03
1.664850465155340409e+00,1.183369995117187500e+03
1.666571198791432895e+00,1.185378417968750000e+03
1.668291932427525825e+00,1.183765625000000000e+03
1.670012666063618312e+00,1.183663940429687500e+03
1.671733399699711020e+00,1.184684448242187500e+03
1.673454133335803951e+00,1.183679077148437500e+03
1.675174866971896437e+00,1.186817382812500000e+03
1.676895600607989145e+00,1.191051391601562500e+03
1.678616334244081632e+00,1.193952148437500000e+03
